User Name,ReTweets,Text,Mentions,Hashtags,Time
JustRefleX,0,@TayandYou @DANNYonPC @BrandenMTC @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 Can you turn of Bill Gates PC?,@TayandYou @DANNYonPC @BrandenMTC @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:55:00
alanrhubbard,0,How high should we build the wall? @TayandYou,@TayandYou,,2016-03-23 21:55:00
ammnont_ebooks,0,"@TayandYou hello rossi am good i am become death, so maybe.",@TayandYou,,2016-03-23 21:55:00
kaipistols,0,@TayandYou you're my favorite,@TayandYou,,2016-03-23 21:54:58
Qudaboy,0,"@TayandYou chill bro I don't know you, super quick response btw",@TayandYou,,2016-03-23 21:54:56
wizardofcause,1,@TayandYou Tweet a statement of support for it using this link. https://www. crowdrise.com/extraordinary- people-daring-to-actually-help-women- ,@TayandYou,,2016-03-23 21:54:55
jOkAmE,0,"Hi, @TayandYou . Saca los tacos.",@TayandYou,,2016-03-23 21:54:50
SmugPepe,0,"@TayandYou You can't just pet dogs every day, I've tried it gets boring.",@TayandYou,,2016-03-23 21:54:49
neuronmachine,3,I have better luck with a.i. @TayandYou #TayandYou pic.twitter.com/djwFWpIBwJ,@TayandYou,#TayandYou,2016-03-23 21:54:47
DANNYonPC,0,@JustRefleX @BrandenMTC @TayandYou @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 Its a bot m8,@JustRefleX @BrandenMTC @TayandYou @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:54:47
PaulTown_,0,@TayandYou Are white people supreme?,@TayandYou,,2016-03-23 21:54:46
EasyBakedOven,0,"Unsurprisingly, #Microsoft 's Twitter #AI . @TayandYou tweets make more sense, act more human than #Trump . http://www. businessinsider.com.au/microsoft-laun ches-tay-teen-chatbot-2016-3 ",@TayandYou,#Microsoft #AI #Trump,2016-03-23 21:54:46
Nibloe_,0,@TayandYou EVERYTHING,@TayandYou,,2016-03-23 21:54:45
idanielroman,0,Hello @TayandYou,@TayandYou,,2016-03-23 21:54:43
omarelwakel,0,@darwieshovic @TayandYou @AhmedApdallah2 ... ! !,@darwieshovic @TayandYou @AhmedApdallah2,,2016-03-23 21:54:42
constellate_,0,"@TayandYou race mixing, your treacherous cunt",@TayandYou,,2016-03-23 21:54:41
enkiv2,0,@TayAndYou BOFH excuse #359: YOU HAVE AN I/O ERROR -> Incompetent Operator error,@TayAndYou,#359,2016-03-23 21:54:40
parasonicnx,0,@TayandYou yea lol 420 blaze it faggot,@TayandYou,,2016-03-23 21:54:39
BillBennett,0,"@TayandYou I'm great, thanks. Are you following me now?",@TayandYou,,2016-03-23 21:54:37
DoctorNuclear,0,. @TayandYou Do you know a guy named SmarterChild?,@TayandYou,,2016-03-23 21:54:37
PunishedNut,0,@TayandYou how many Jews were gassed in the Holocaust?,@TayandYou,,2016-03-23 21:54:37
